id,text,label,byte,source
1,인공지능은 반복적인 업무를 자동화하여 인간의 생산성을 높이고 산업 효율을 극대화한다.,AI,84,GPT
2,이러한 글로벌 AI 인재 전쟁을 바라보며 우리는 중요한 질문을 던져야 한다.?,human,72,news
3,"특히 반도체 분야에서는 세계 최고 수준의 기술력을 보유하고 있으며, 이는 AI 시대에 더욱 중요해지고 있다.",human,102,news
4,AI는 개인의 소비 데이터를 분석해 맞춤형 추천을 제공함으로써 고객 만족도를 높인다.,AI,85,GPT
5,현재 한국은 세계 AI 경쟁에서 중간 정도 위치에 있다.,human,51,news
6,"자율주행차는 AI 기술을 기반으로 주변 환경을 분석하고, 사고를 줄이는 데 기여하고 있다.",AI,81,GPT
7,태안군이 인공지능(AI)과 사물인터넷(IoT)을 활용한 지역 노년층 건강관리에 힘쓴 성과를 인정받아 보건복지부 장관상을 수상했다.,human,122,news
8,"4차 산업혁명은 인간과 기계의 협업을 전제로 하며, AI는 그 핵심 기술로 부상하고 있다.",AI,83,GPT
9,자연어 처리 기술은 AI가 인간의 언어를 이해하고 소통할 수 있게 만드는 핵심 분야 중 하나이다.,AI,91,GPT
10,3D 그래픽 기술 발전으로 혜택을 보는 분야 중 하나가 게임이다.?,human,61,news
11,CJ ENM이 인공지능(AI)을 활용해 본격적으로 콘텐츠 확장에 나선다.,human,63,news
12,"딥러닝 알고리즘은 대량의 데이터를 학습해 패턴을 인식하고, 예측 정확도를 향상시킨다.",AI,83,GPT
13,알고리즘은 AI 시스템이 데이터를 처리하고 결정을 내리는 데 사용하는 일련의 규칙입니다.,human,85,news
14,"의료 분야에서 AI는 영상 진단 보조, 질병 예측 등 다양한 방식으로 환자의 생명을 지킨다.",AI,85,GPT
15,AI 기반 로봇은 자동차를 조립하고 산불로 인한 방사능을 최소화할 수도 있습니다.,human,77,news
16,AI 윤리는 기술의 발전과 함께 반드시 고려해야 할 중요한 사회적 과제가 되고 있다.,AI,81,GPT
17,AI 챗봇은 24시간 고객 응대를 가능하게 하여 기업의 서비스 효율성을 크게 향상시킨다.,AI,79,GPT
18,Ai는 반복적이고 일상적인 작업을 자동화하여 인적 자원을 보다 창의적이고 복잡한 작업에 집중할 수 있다.,human,100,news
19,AI를 사용하는 사용자의 선호도와 행동에 따라 사용 장의 경험을 개인화하여 고객 만족도를 향상할 수 있다.,human,101,news
20,"AI는 교육 분야에서 개인 맞춤형 학습을 가능하게 하며, 학습자의 능력에 맞춘 콘텐츠를 제공한다.",AI,92,GPT
